filename,raw_bpm,resolved_bpm,ratio,status
JUG-20260424-06-B.wav,129.19921875,129.19921875,0.9597581254724112,CLEAN
JUG-20260424-04-A.wav,123.046875,123.046875,1.0077460317460318,CLEAN
JUG-20260424-06-A.wav,83.35433467741936,166.70866935483872,0.7438125472411187,FLEX
JUG-20260424-04-B.wav,123.046875,123.046875,1.0077460317460318,CLEAN
JUG-20260424-02-A.wav,123.046875,123.046875,1.0077460317460318,CLEAN
JUG-20260424-02-B.wav,123.046875,123.046875,1.0077460317460318,CLEAN
JUG-20260424-07-A.wav,129.19921875,129.19921875,0.9597581254724112,CLEAN
JUG-20260424-05-B.wav,129.19921875,129.19921875,0.9597581254724112,CLEAN
JUG-20260424-07-B.wav,123.046875,123.046875,1.0077460317460318,CLEAN
JUG-20260424-05-A.wav,129.19921875,129.19921875,0.9597581254724112,CLEAN
JUG-20260424-01-A.wav,123.046875,123.046875,1.0077460317460318,CLEAN
JUG-20260424-03-B.wav,123.046875,123.046875,1.0077460317460318,CLEAN
JUG-20260424-01-B.wav,123.046875,123.046875,1.0077460317460318,CLEAN
JUG-20260424-03-A.wav,129.19921875,129.19921875,0.9597581254724112,CLEAN
JUG-20260424-10-D.wav,129.19921875,129.19921875,0.9597581254724112,CLEAN
JUG-20260424-09-A.wav,129.19921875,129.19921875,0.9597581254724112,CLEAN
JUG-20260424-10-A.wav,129.19921875,129.19921875,0.9597581254724112,CLEAN
JUG-20260424-10-C.wav,129.19921875,129.19921875,0.9597581254724112,CLEAN
JUG-20260424-09-B.wav,129.19921875,129.19921875,0.9597581254724112,CLEAN
JUG-20260424-08-B.wav,123.046875,123.046875,1.0077460317460318,CLEAN
JUG-20260424-08-A.wav,92.28515625,92.28515625,1.3436613756613756,AMBIGUOUS
